major_id:ID(Major-ID),name,:LABEL
major_8441b348c3a6ecdf,不限,Major
major_a7bac2239fcdcb3a,中文,Major
major_374eed7a320c38cd,产品设计,Major
major_c19ad751a1d6ee82,人力资源管理,Major
major_adee336e931b0cfb,人工智能安全或信息安全,Major
major_07c516d2a88502df,企业管理,Major
major_8aee5704074b0be2,传媒等相关专业优先,Major
major_4427717e1bba2699,信息管理,Major
major_2369c0255a80fb83,信息管理等相关专业,Major
major_5a8e61f182f2f15c,公共管理,Major
major_606cfae94c87833f,商务管理,Major
major_05b15039f1f4a643,图书情报与档案管理,Major
major_4bcaa71d7a70a7ab,地信,Major
major_7c1e6b9c8aeef149,地理信息,Major
major_2c657e7dce6effae,大数据,Major
major_52578ceddcdee2aa,工业工程,Major
major_04a0b2247a1b3089,工商管理,Major
major_7b5f10e37e57ca9c,工商管理等相关专业,Major
major_6f5674f7b7649dc6,工程管理,Major
major_09eeda07eff16290,市场营销,Major
major_2d79f22169496cae,市场营销等相关专业,Major
major_37391cebe328b418,广告学,Major
major_11038d99c3bc58b0,心理学,Major
major_6758bd3d8862e1cf,教育学,Major
major_96b50520d4c42689,数字媒体等相关专业,Major
major_1bdc02b593e6de9e,文秘等相关专业,Major
major_842f1127f47eefc1,新闻传播,Major
major_671c0d80c3a7e623,日语,Major
major_5edd2814297895fb,机械,Major
major_416b66e7729a6fa2,机械电子专业,Major
major_ff43f9c9594eb9c9,机械类相关专业,Major
major_13599838218b0cc9,机电,Major
major_29ccd80c235faf65,档案学,Major
major_927bf760df22bb29,法学,Major
major_2cfc6a272d63f4e4,法律专业,Major
major_a2e0c4f6ec3975d5,测绘工程,Major
major_fbfeda2c01f49a7a,物流管理,Major
major_3d13e1c086cc2bde,物联网,Major
major_f8959829bddafbe7,理工科相关专业,Major
major_b0a65b92f0fdd4c8,电子,Major
major_41052b4325b2bd6a,电子信息,Major
major_93e3723d941c0b3a,电子信息工程,Major
major_265fef03a43b143d,电子信息工程等相关专业,Major
major_4154f9d6ea373709,电子商务,Major
major_47bff6bd3d55f9c9,电气,Major
major_92db866b85f6de9a,知识产权,Major
major_cafefe9c15ca5b26,秘书,Major
major_5d6a59b2f23cfe43,管理学,Major
major_6ab9f76368972ba4,经济学,Major
major_76b92ba2f17c1a35,统计学,Major
major_8b3607d0f4181a3c,翻译,Major
major_4c65b7cd7d08612a,自动化,Major
major_5e5660c1f0a8fd3b,自动化等理工类专业,Major
major_ceb72ccd3eef7cf8,自动化等相关专业,Major
major_4c6b6b7e0955224f,自动化类相关专业,Major
major_58ed3aae721fe58a,航空航天等相关工科专业,Major
major_e2683f6a714f7fca,英文等相关专业优先,Major
major_37c08bef30433d83,虚拟现实或仿真,Major
major_ac90b26518ea58d6,行政管理,Major
major_8a2b56e293ee788f,计算机,Major
major_5a0a5659de73f66a,计算机专业优先,Major
major_5bc73c6aa2121f76,计算机相关专业,Major
major_b9912a8989c8cbbb,计算机相关专业优先,Major
major_1273ce3d542f2608,计算机科学,Major
major_b9a50c2245e75591,计算机科学与技术,Major
major_c08ba054e358e971,计算机科学技术,Major
major_75e3228677d21f3f,计算机等相关专业,Major
major_054f5e7756ee2a34,质量管理,Major
major_f0dfc65b71f0f4c0,软件,Major
major_3c3866c4c45403e5,软件工程,Major
major_170e705cb1bcb832,通信,Major
major_eca46e00d6192f20,通信工程,Major
major_529cd776095030f8,通讯自动化及相关理工类专业,Major
major_557e6439dcf8f59a,遥感,Major
major_0fbc8d2bfc564fd9,金融学,Major
